/m/09c7w0	United States
/m/09c7w0	US
/m/09c7w0	USA
/m/09c7w0	U
/m/0345h	Germany
/m/0chghy	Australia
/m/03shp	Iran
/m/03shp	Iran Islamic Rep.
/m/07ssc	UK
/m/07ssc	United Kingdom
/m/03h64	Hong Kong
/m/03rj0	Iceland
/m/0f8l9c	France
/m/03rk0	India
/m/0d060g	Canada
/m/06bnz	Russia
/m/06bnz	Russian Federation
/m/03_3d	Japan
/m/03rjj	Italy
/m/05v8c	Philippines
/m/0hzlz	South Africa
/m/07f1x	Thailand
/m/05qhw	Poland
/m/02jx1	England
/m/03rt9	Ireland
/m/015fr	Brazil
/m/0jgd	Argentina
/m/0154j	Belgium
/m/059j2	Netherlands
/m/0k6nt	Denmark
/m/0d0vqn	Sweden
/m/01znc_	Turkey
/m/07ylj	Venezuela RB
/m/07ylj	Venezuela
/m/05b7q	North Korea
/m/0jt3tjf	Kyrgyz Republic
/m/0jt3tjf	Kyrgyzstan
/m/05b7q	Korea Dem. Rep.
/m/04fh3	Kosovo
/m/06qd3	Korea Rep.
/m/06qd3	South Korea
/m/0b90_r	Mexico
/m/01mk6	Czechoslovakia
/m/0cdbq	Russian Empire
/m/0ctw_b	New Zealand
/m/04gzd	Lithuania
/m/06mkj	Spain
/m/082fr	West Germany
/m/06t2t	Singapore
/m/05b4w	Norway
/m/01mjq	Czech Republic
/m/01pj7	Croatia
/m/06npd	Slovak Republic
/m/06npd	Slovakia
/m/04wgh	Morocco
/m/04g61	Luxembourg
/m/05sb1	Pakistan
/m/02vzc	Finland
/m/06mzp	Switzerland
/m/084n_	Weimar Republic
/m/0166v	Botswana
/m/09pmkv	Malaysia
/m/02k54	Egypt
/m/02k54	Egypt Arab Rep.
/m/03gj2	Hungary
/m/0hg5	Andorra
/m/0j1z8	United Arab Emirates
/m/0jdd	Afghanistan
/m/0l3h	Antigua and Barbuda
/m/0n3g	Anguilla
/m/0jdx	Albania
/m/0jgx	Armenia
/m/05byy	Netherlands Antilles
/m/0j4b	Angola
/m/0h8d	American Samoa
/m/0h7x	Austria
/m/0j11	Aruba
/m/0jhd	Azerbaijan
/m/0166b	Bosnia and Herzegovina
/m/0162v	Barbados
/m/0162b	Bangladesh
/m/01699	Burkina Faso
/m/015qh	Bulgaria
/m/0161c	Bahrain
